Service ID,Name,Description,Category,Section,Duration (Min),Variable Price,Price,Min Price,Max Price,Included Services,Assigned Staff,Active
,Eyebrows Threading,,threading,,10,No,300,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Upper Lip Threading,,threading,,10,No,150,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Forehead Threading,,threading,,10,No,200,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Chin Threading,,threading,,10,No,150,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Lower Lip Threading,,threading,,10,No,100,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Full Face Threading,,threading,,30,No,1500,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Eyebrows Wax,,waxing,,15,No,500,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Forehead Wax,,waxing,,15,No,400,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Upper Lip Wax,,waxing,,15,No,250,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Chin Wax,,waxing,,15,No,350,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Nose Wax,,waxing,,15,No,200,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Lower Lip Wax,,waxing,,15,No,200,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Neck Wax,,waxing,,20,No,500,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Back Neck Wax,,waxing,,20,No,500,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Side Face Wax,,waxing,,20,No,750,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Full Face Wax,,waxing,,30,No,2000,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Half Arms Wax,,waxing,,20,No,1000,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Half Legs Wax,,waxing,,30,No,1200,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Full Arms Wax,,waxing,,30,No,1500,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Full Legs Wax,,waxing,,45,No,3000,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Under Arms Wax,,waxing,,15,No,600,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Under Legs Wax,,waxing,,30,No,2000,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Belly Wax,,waxing,,20,No,1500,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Capri Wax,,waxing,,40,No,800,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Three Quarter Wax,,waxing,,45,No,1200,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Hand Wax,,waxing,,15,No,500,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Full Body Wax,,waxing,,90,No,10000,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Simple Cleansing,,cleansing,,30,No,1000,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Double Cleansing,,cleansing,,40,No,1500,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Janssen Cleansing,,cleansing,,40,No,1500,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
,Korean Glass Cleansing,,cleansing,,45,No,2000,,,,"Esha, Saba, Faiza, Maryam, Nimra",Yes
